Country,EIRank,EducationIndex,ExpectedYears,MeanYears,HDI
Democratic Republic of the Congo,149,0.475,9.8,6.1,176
Nepal,149,0.475,12.2,4.1,144
Laos,151,0.474,10.8,5.2,138
Comoros,152,0.469,11.1,4.8,160
Uganda,153,0.467,10,5.7,163
Cambodia,154,0.459,10.9,4.7,143
Bangladesh,155,0.457,10.2,5.2,139
Bhutan,156,0.452,12.5,3.1,132
Malawi,157,0.445,10.8,4.4,170
Solomon Islands,157,0.445,9.6,5.3,156
Tanzania,159,0.441,8.9,5.8,151
Equatorial Guinea,160,0.439,9.2,5.5,135
Rwanda,161,0.426,10.8,3.8,159
Haiti,162,0.425,9.1,5.2,163
Liberia,163,0.423,9.9,4.4,177
Papua New Guinea,164,0.419,9.9,4.3,154
Syrian Arab Republic,165,0.417,9,5.1,149
Cote d'Ivoire,166,0.415,8.9,5,171
Benin,167,0.414,10.7,3.5,167
Myanmar,168,0.41,9.1,4.7,145
Afghanistan,169,0.398,10.1,3.5,169
Burundi,170,0.395,10.6,3,184
Mauritania,171,0.377,8.5,4.3,157
Sierra Leone,172,0.374,9.5,3.3,179
Mozambique,173,0.369,9.1,3.5,181
Gambia,174,0.358,8.9,3.3,173
Senegal,175,0.355,9.5,2.8,162
Guinea-Bissau,176,0.353,9.2,2.9,178
Yemen,177,0.35,9,3,168
Central African Republic,178,0.338,7.1,4.2,188
Guinea,179,0.33,8.8,2.6,183
Ethiopia,180,0.318,8.4,2.6,174
Sudan,180,0.318,7.2,3.5,165
Mali,182,0.312,8.4,2.3,175
Djibouti,183,0.31,6.3,4.1,172
South Sudan,184,0.297,4.9,4.8,181
Chad,185,0.28,7.3,2.3,186
Eritrea,186,0.267,5,3.9,179
Burkina Faso,187,0.262,7.7,1.4,185
Niger,188,0.206,5.4,1.7,187
